id,direction,strike,lots,qty,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pts,pnl_cash,entry_score,peak_price
1,CE,24050,10,650,09:20:16,147.05,09:37:17,136.9,SL HIT,-10.15,-6597.5,0.53,154.0
2,PE,24150,7,455,09:37:33,184.25,09:39:41,174.2,SL HIT,-10.05,-4572.75,0.67,184.8
3,CE,24100,10,650,13:32:57,136.65,13:45:25,126.65,SL HIT,-10.0,-6500.0,0.67,136.65
4,CE,24100,9,585,15:02:41,133.2,15:04:16,144.45,TRAIL SL,11.25,6581.25,0.73,149.7
5,CE,24150,11,715,15:06:15,125.3,15:25:00,132.95,EOD CLOSE,7.65,5469.75,1.0,135.75
