id,direction,strike,lots,qty,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pts,pnl_cash,entry_score,peak_price
1,PE,24050,10,650,10:10:39,151.8,10:13:57,141.65,SL HIT,-10.15,-6597.5,0.53,151.9
2,PE,24000,10,650,11:39:49,135.95,12:02:31,125.8,SL HIT,-10.15,-6597.5,0.8,143.95
3,PE,24000,8,520,13:12:00,152.7,13:34:43,142.0,SL HIT,-10.7,-5564.0,0.8,158.55
4,CE,23900,7,455,13:48:00,159.65,14:05:18,174.1,TRAIL SL,14.45,6574.75,0.67,180.35
5,CE,23900,8,520,15:02:27,170.75,15:03:37,183.15,TRAIL SL,12.4,6448.0,0.67,188.85
6,CE,24000,11,715,15:08:45,123.05,15:15:34,112.9,SL HIT,-10.15,-7257.25,0.53,133.0
